Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
202, GB02-006737, Handbook of Glass Properties, 1986, v. 001  p. 0327, 41.54, , 46.99, , , , , , , 90.5
203, GB02-006738, Handbook of Glass Properties, 1986, v. 001  p. 0327, 62.38, , 31.6, , , , , , , 88.6
204, GB02-006739, Handbook of Glass Properties, 1986, v. 001  p. 0320, 73.5, , 0.56, , 16.63, , , , , 84.0
205, GI05-008246, Proc. ICG, 1980, v. 012  p. 0385, 62.11, 4.98, 20.27, , , 7.88, , , , 78.6
206, GI05-008247, Proc. ICG, 1980, v. 012  p. 0385, 62.11, 4.98, 20.27, , , 7.88, , , , 67.4
207, GI05-008249, Proc. ICG, 1980, v. 012  p. 0385, 64.76, 5.19, 21.13, , , , , , , 85.7
208, GI05-008250, Proc. ICG, 1980, v. 012  p. 0385, 64.76, 5.19, 21.13, , , , , , , 70.3
209, GI05-008252, Proc. ICG, 1980, v. 012  p. 0385, 59.1, 4.74, 19.28, , , 16.88, , , , 74.9
210, GI02-008253, Proc. ICG, 1980, v. 012  p. 0385, 65.3, , 18.47, , , , , , , 92.3
211, GI02-008254, Proc. ICG, 1980, v. 012  p. 0385, 65.3, , 18.47, , , , , , , 84.8
212, GI02-008256, Proc. ICG, 1980, v. 012  p. 0385, 55.6, , 15.72, , , 28.67, , , , 72.3
213, GJ02-008384, Glass Science and Technology, 1979, v. 052  p. 0001, 71.61, , , 3.81, 10.13, 14.04, , , 0.4, 64.0
214, GJ05-008748, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 37.87, 14.21, 11.93, , 4.77, 4.47, , , , 83.1
215, GJ05-008750, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 59.54, 9.34, 5.32, , , 1.2, , , , 72.2
216, GJ05-008752, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 40.0, 17.7, 6.1, , 3.0, 3.0, , , , 81.9
217, GJ05-008754, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 43.23, 11.23, 13.64, , 2.61, 2.71, , , , 80.0
218, GJ05-008756, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 46.09, 12.02, 6.11, , 2.81, 2.91, , , , 79.7
219, GJ05-008758, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 41.5, 15.5, 7.0, 5.0, , , , , , 69.9
220, GJ05-008760, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 42.6, 8.3, 6.7, 7.5, , 1.2, , , , 76.9
221, GJ05-008762, Bull. Gov. Ind. Res. Osaka, 1979, v. 030  p. 0310, 40.8, 15.3, 5.3, , 5.1, 4.8, , , , 78.4
222, GJ03-010182, J. American Ceramic Soc., 1988, v. 071  p. 0386, 58.33, , 25.0, 15.0, , , , , , 97.23
223, GJ03-010183, J. American Ceramic Soc., 1988, v. 071  p. 0386, 56.66, , 25.0, 15.0, , , , , , 97.98
224, GJ03-010184, J. American Ceramic Soc., 1988, v. 071  p. 0386, 54.99, , 25.0, 15.0, , , , , , 104.2
225, GJ03-010185, J. American Ceramic Soc., 1988, v. 071  p. 0386, 53.32, , 25.0, 15.0, , , , , , 109.6
226, GJ03-010186, J. American Ceramic Soc., 1988, v. 071  p. 0386, 51.64, , 25.0, 15.0, , , , , , 98.17
227, GC06-013259, Nihon Klingage (J), 1997, Luking-AR, *, , *, , , , , , , 109.27
228, GJ20-014829, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 17.27, , *, , *, , , , , 84.39
229, GJ20-014830, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 14.63, , *, , *, , , , , 86.24
230, GJ20-014831, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 2.58, , 10.93, , *, , , , , 82.98
231, GJ20-014832, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 36.92, , 31.32, , *, , , , , 84.02
232, GJ20-014833, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 36.86, , 19.24, , *, , , , , 79.92
233, GJ20-014834, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 33.36, , 23.59, , *, , , , , 81.96
234, GJ20-014835, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 30.0, , 27.77, , *, , , , , 83.44
235, GJ20-014836, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 27.41, , 21.14, , *, , , , , 81.41
236, GJ20-014837, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 24.49, , 24.94, , *, , , , , 82.83
237, GJ05-015826, J. Non-Crystalline Solids, 1977, v. 026  p. 0514, 77.51, 11.87, 2.7, , , 3.86, 3.86, , , 63.0
238, GJ02-015829, J. Non-Crystalline Solids, 1977, v. 026  p. 0517, 75.89, , 1.15, , 8.77, 13.67, 0.52, , , 74.0
239, GJ04-015831, J. Non-Crystalline Solids, 1977, v. 026  p. 0517, 57.37, , 1.0, , , 4.01, 8.53, , , 57.5
240, GJ06-015832, J. Non-Crystalline Solids, 1977, v. 026  p. 0517, 54.11, 8.42, 14.43, 4.61, 17.84, 0.5, 0.1, , , 73.0
241, GI06-016184, Proc. ICG, 1980, v. 012  p. 0661, 35.04, , 25.01, , , , , , , 94.9
242, GI06-016185, Proc. ICG, 1980, v. 012  p. 0661, 31.02, , 21.72, , , , , , , 114.5
243, GI06-016187, Proc. ICG, 1980, v. 012  p. 0661, 25.01, , 24.95, , , , , , , 114.5
244, GI06-016188, Proc. ICG, 1980, v. 012  p. 0661, 25.01, , 24.95, , , , , , , 106.6
245, GI06-016189, Proc. ICG, 1980, v. 012  p. 0661, 22.65, , 20.78, , , , , , , 121.3
246, GI06-016190, Proc. ICG, 1980, v. 012  p. 0661, 22.85, , 26.97, , , , , , , 110.9
247, GI06-016191, Proc. ICG, 1980, v. 012  p. 0661, 18.23, , 17.56, , , , , , , 107.0
248, GI06-016192, Proc. ICG, 1980, v. 012  p. 0661, 70.99, , 0.94, , , 11.02, , , , 70.0
249, GB06-017745, Handbook of Glass Data, 1987, v. 00C  p. 0936, 29.77, , 21.25, , , , , , , 94.9
250, GB06-017746, Handbook of Glass Data, 1987, v. 00C  p. 0936, 23.88, , 24.31, , , , , , , 99.7
251, GB06-017747, Handbook of Glass Data, 1987, v. 00C  p. 0936, 35.04, , 25.01, , , , , , , 112.3
252, GB06-017748, Handbook of Glass Data, 1987, v. 00C  p. 0936, 31.02, , 21.72, , , , , , , 114.5
253, GB06-017749, Handbook of Glass Data, 1987, v. 00C  p. 0936, 60.0, , 30.0, , , , , , , 124.9
254, GB09-017750, Handbook of Glass Data, 1987, v. 00C  p. 0936, 50.0, , 20.0, , , , , , , 108.2
255, GB09-017751, Handbook of Glass Data, 1987, v. 00C  p. 0936, 54.0, , 21.0, , , , , , , 94.57
256, GB06-017752, Handbook of Glass Data, 1987, v. 00C  p. 0936, 60.0, , 30.0, , , , , , , 88.98
257, GJ02-018481, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, , 0.5, , *, *, , , , 75.6
258, GJ02-018482, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, , 1.0, , *, *, , , , 77.6
259, GJ02-018483, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, , 2.0, , *, *, , , , 85.9
260, GJ02-018485, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, , 8.0, , *, *, , , , 81.0
261, GJ02-018486, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, , 12.0, , *, *, , , , 80.7
262, GJ02-018514, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, 4.0, 0.25, , *, *, , , , 75.9
263, GJ02-018515, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, 0.6, 1.0, , *, *, , , , 71.1
264, GJ02-018516, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, 1.0, 2.0, , *, *, , , , 72.5
265, GJ02-018517, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, , 2.0, , *, *, , , , 77.6
266, GJ02-018518, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, 0.5, 3.0, , *, *, , , , 74.3
267, GJ02-018519, American Ceramic Soc. Bull., 1985, v. 064  p. 0679, 32.94, 0.6, 2.0, , *, *, , , , 78.3
268, GB02-019713, Handbook of Glass Data, 1987, v. 00C  p. 0204, 72.69, , , , , , 19.53, , , 69.78
269, GB02-019714, Handbook of Glass Data, 1987, v. 00C  p. 0204, 69.38, , , 11.97, , , 18.65, , , 62.23
270, GB02-019715, Handbook of Glass Data, 1987, v. 00C  p. 0204, 66.28, , , , 15.91, , 17.81, , , 70.66
271, GB02-019716, Handbook of Glass Data, 1987, v. 00C  p. 0204, 58.4, , , , , , 15.69, , , 63.99
272, GB02-019717, Handbook of Glass Data, 1987, v. 00C  p. 0204, 51.95, , , , , , 13.96, , , 60.27
273, GB02-019718, Handbook of Glass Data, 1987, v. 00C  p. 0204, 61.84, , , , , , 16.62, , , 63.31
274, GB02-019719, Handbook of Glass Data, 1987, v. 00C  p. 0204, 55.0, , , , , , 14.78, , , 59.98
275, GB02-019720, Handbook of Glass Data, 1987, v. 00C  p. 0206, 48.45, , 0.25, , , , , , , 84.28
276, GB02-019721, Handbook of Glass Data, 1987, v. 00C  p. 0206, 73.41, , 0.56, , 16.69, , , , , 82.32
277, GB02-019722, Handbook of Glass Data, 1987, v. 00C  p. 0206, 66.97, , 0.17, , , , , , , 85.26
278, GB02-019723, Handbook of Glass Data, 1987, v. 00C  p. 0206, 60.12, , 0.33, , , , , , , 81.34
279, GB02-019724, Handbook of Glass Data, 1987, v. 00C  p. 0206, 59.38, , 0.3, , , , , , , 79.38
280, GB02-019725, Handbook of Glass Data, 1987, v. 00C  p. 0206, 58.64, , 1.01, , , , , , , 75.46
281, GB02-019728, Handbook of Glass Data, 1987, v. 00C  p. 0206, 67.8, , 0.53, 11.16, , 20.5, , , , 70.56
282, GB02-019729, Handbook of Glass Data, 1987, v. 00C  p. 0206, 66.31, , 0.68, , 15.73, 17.28, , , , 69.58
283, GB02-019730, Handbook of Glass Data, 1987, v. 00C  p. 0206, 62.14, , 0.16, , , 16.46, , , , 62.72
284, GB02-019731, Handbook of Glass Data, 1987, v. 00C  p. 0206, 59.92, , 0.15, , , 15.06, , , , 72.52
285, GB02-019732, Handbook of Glass Data, 1987, v. 00C  p. 0206, 57.75, , 0.43, , , 14.91, , , , 66.64
286, GB02-019734, Handbook of Glass Data, 1987, v. 00C  p. 0206, 71.92, , 0.54, , , , 26.79, , , 66.64
287, GB02-019735, Handbook of Glass Data, 1987, v. 00C  p. 0206, 61.62, , 0.31, , 14.53, , 23.53, , , 55.86
288, GB02-019736, Handbook of Glass Data, 1987, v. 00C  p. 0206, 56.5, , 0.29, , , , 22.99, , , 59.78
289, GB02-019737, Handbook of Glass Data, 1987, v. 00C  p. 0206, 56.54, , 0.14, , , , 20.01, , , 61.74
290, GB02-019738, Handbook of Glass Data, 1987, v. 00C  p. 0206, 50.97, , 0.26, , , , 21.41, , , 55.86
291, GB02-019739, Handbook of Glass Data, 1987, v. 00C  p. 0206, 51.18, , 0.89, , , , 18.97, , , 52.92
292, GB02-019740, Handbook of Glass Data, 1987, v. 00C  p. 0206, 42.27, , , , , , 16.64, , , 44.1
293, GB02-019741, Handbook of Glass Data, 1987, v. 00C  p. 0209, 73.03, , , , , , 20.0, , , 57.53
294, GB02-019742, Handbook of Glass Data, 1987, v. 00C  p. 0209, 67.22, , , , , , 18.47, , , 60.37
295, GB02-019743, Handbook of Glass Data, 1987, v. 00C  p. 0209, 60.98, , , , , , 16.7, , , 62.72
296, GB02-019744, Handbook of Glass Data, 1987, v. 00C  p. 0209, 49.38, , , , , , 13.59, , , 67.66
297, GB02-019745, Handbook of Glass Data, 1987, v. 00C  p. 0209, 66.86, , , , , , 24.69, , , 54.98
298, GB02-019746, Handbook of Glass Data, 1987, v. 00C  p. 0209, 60.46, , , , , , 22.3, , , 58.8
299, GB02-019747, Handbook of Glass Data, 1987, v. 00C  p. 0209, 53.78, , , , , , 19.86, , , 62.52
300, GB02-019748, Handbook of Glass Data, 1987, v. 00C  p. 0209, 46.9, , , , , , 17.27, , , 67.23
301, GB02-019749, Handbook of Glass Data, 1987, v. 00C  p. 0209, 43.76, , , , , , 16.24, , , 68.6
302, GB02-019750, Handbook of Glass Data, 1987, v. 00C  p. 0209, 60.05, , , , , , 29.69, , , 53.21
303, GB02-019751, Handbook of Glass Data, 1987, v. 00C  p. 0209, 56.75, , , , , , 28.0, , , 55.47
304, GB02-019752, Handbook of Glass Data, 1987, v. 00C  p. 0209, 53.33, , , , , , 26.33, , , 58.9
305, GB02-019753, Handbook of Glass Data, 1987, v. 00C  p. 0209, 49.93, , , , , , 24.7, , , 59.19
306, GB02-019754, Handbook of Glass Data, 1987, v. 00C  p. 0209, 46.53, , , , , , 23.0, , , 60.86
307, GB02-019755, Handbook of Glass Data, 1987, v. 00C  p. 0209, 43.17, , , , , , 21.34, , , 65.46
308, GB02-019756, Handbook of Glass Data, 1987, v. 00C  p. 0209, 40.53, , , , , , 20.06, , , 66.93
309, GB02-019757, Handbook of Glass Data, 1987, v. 00C  p. 0209, 53.63, , , , , , 34.28, , , 53.31
310, GB02-019758, Handbook of Glass Data, 1987, v. 00C  p. 0209, 46.63, , , , , , 29.84, , , 59.09
311, GB02-019759, Handbook of Glass Data, 1987, v. 00C  p. 0209, 39.86, , , , , , 25.45, , , 64.58
312, GB02-019760, Handbook of Glass Data, 1987, v. 00C  p. 0210, 72.26, , , , , , 20.63, , , 57.33
313, GB02-019761, Handbook of Glass Data, 1987, v. 00C  p. 0210, 73.37, , , , , , 15.18, , , 61.05
314, GB02-019762, Handbook of Glass Data, 1987, v. 00C  p. 0210, 77.91, , , , , , 12.47, , , 62.44
315, GB02-019763, Handbook of Glass Data, 1987, v. 00C  p. 0210, 59.92, , , , , , 13.02, , , 66.05
316, GB02-019764, Handbook of Glass Data, 1987, v. 00C  p. 0210, 68.24, , , , , , 10.4, , , 65.66
317, GB02-019765, Handbook of Glass Data, 1987, v. 00C  p. 0210, 76.55, , , , , , 7.67, , , 64.68
318, GJ20-020566, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.42, , , 12.27, , , , 41.9
319, GJ20-020567, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 0.19, , , 14.29, , , , 30.1
320, GJ20-020568, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 2.69, , , 14.27, , , , 33.4
321, GJ20-020569, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.44, , , 18.29, , , , 33.0
322, GJ20-020570, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.34, , , 24.52, , , , 36.4
323, GJ20-020571, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 3.53, , , 36.42, , , , 39.8
324, GJ20-020572, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.99, , , , , , , 46.3
325, GJ20-020573, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 2.3, , , , , , , 44.8
326, GJ20-020574, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.65, , , , , , , 38.7
327, GJ20-020575, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.15, , , , , , , 42.6
328, GJ20-020576, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 1.1, , , , , , , 45.5
329, GJ20-020577, Physics and Chemistry of  Glasses, 1988, v. 029  p. 0037, , , 0.79, , , , , , , 51.2
330, GB02-022860, Vlastnosti Skel, 1996, v. 001  p. 0306, 71.65, , 1.68, 1.68, 9.5, 13.66, 1.58, , , 66.85
331, GB02-022861, Vlastnosti Skel, 1996, v. 001  p. 0306, 70.2, 7.0, 7.5, , 1.8, 9.5, 1.0, , , 73.5
332, GB05-022862, Vlastnosti Skel, 1996, v. 001  p. 0306, 80.16, 12.83, 2.3, , , 3.51, 1.2, , , 63.0
333, GB01-022863, Vlastnosti Skel, 1996, v. 001  p. 0306, 94.47, 5.03, , , , , 0.5, , , 94.2
334, GB02-022864, Vlastnosti Skel, 1996, v. 001  p. 0306, 67.5, 2.0, 2.5, , 7.0, 14.0, , , , 65.3
335, GB02-022865, Vlastnosti Skel, 1996, v. 001  p. 0306, 68.69, , 3.89, 2.89, 5.48, 17.75, 1.3, , , 60.76
336, GB05-022866, Vlastnosti Skel, 1996, v. 001  p. 0306, 67.77, 18.92, 3.6, , , 0.4, 8.41, , , 63.74
337, GB05-022867, Vlastnosti Skel, 1996, v. 001  p. 0306, 75.0, 11.6, 4.0, , 1.5, 5.9, 1.6, , , 72.8
338, GB05-022868, Vlastnosti Skel, 1996, v. 001  p. 0306, 71.08, 24.82, 0.9, , 0.3, 1.5, 1.2, , , 46.68
339, GB02-022871, Vlastnosti Skel, 1996, v. 001  p. 0306, 67.21, , 5.02, , , 7.02, 8.33, , , 67.7
340, XJ04-023554, American Ceramic Soc. Bull., 1979, v. 058  p. 0595, 2.0, 7.0, 0.7, , , , , , , 58.8
341, GB02-025631, Handbook of Glass Data, 1987, v. 00C  p. 0434, 72.91, 4.22, , , , , 22.86, , , 60.27
342, GB02-025632, Handbook of Glass Data, 1987, v. 00C  p. 0434, 68.87, 8.4, , , , , 22.73, , , 68.5
343, GB02-025633, Handbook of Glass Data, 1987, v. 00C  p. 0434, 64.87, 12.53, , , , , 22.6, , , 73.21
344, GB02-025634, Handbook of Glass Data, 1987, v. 00C  p. 0434, 60.92, 16.61, , , , , 22.47, , , 76.54
345, GB05-025635, Handbook of Glass Data, 1987, v. 00C  p. 0434, 57.01, 20.64, , , , , 22.34, , , 75.95
346, GB05-025636, Handbook of Glass Data, 1987, v. 00C  p. 0434, 45.55, 32.48, , , , , 21.97, , , 62.43
347, GB02-025707, Handbook of Glass Data, 1987, v. 00C  p. 0449, 85.04, , 7.12, , , , , , , 77.6
348, GB02-025708, Handbook of Glass Data, 1987, v. 00C  p. 0449, 81.75, , 10.53, , , , , , , 78.8
349, GB02-025709, Handbook of Glass Data, 1987, v. 00C  p. 0449, 78.54, , 13.85, , , , , , , 80.1
350, GB02-025710, Handbook of Glass Data, 1987, v. 00C  p. 0450, 75.43, , 17.06, , , , , , , 81.8
351, GB02-025711, Handbook of Glass Data, 1987, v. 00C  p. 0450, 72.41, , 20.19, , , , , , , 82.6
352, GB02-025712, Handbook of Glass Data, 1987, v. 00C  p. 0450, 68.02, , 24.73, , , , , , , 82.8
353, GB06-025713, Handbook of Glass Data, 1987, v. 00C  p. 0450, 66.6, , 26.2, , , , , , , 82.8
354, GB06-025714, Handbook of Glass Data, 1987, v. 00C  p. 0450, 63.81, , 29.09, , , , , , , 84.6
355, GB06-025715, Handbook of Glass Data, 1987, v. 00C  p. 0450, 58.45, , 34.63, , , , , , , 87.3
356, GB02-025716, Handbook of Glass Data, 1987, v. 00C  p. 0450, 76.65, , 4.0, , , , , , , 82.4
357, GB02-025717, Handbook of Glass Data, 1987, v. 00C  p. 0450, 74.54, , 7.78, , , , , , , 83.0
358, GB02-025718, Handbook of Glass Data, 1987, v. 00C  p. 0450, 72.54, , 11.36, , , , , , , 83.8
359, GB02-025719, Handbook of Glass Data, 1987, v. 00C  p. 0450, 70.65, , 14.75, , , , , , , 84.2
360, GB02-025720, Handbook of Glass Data, 1987, v. 00C  p. 0450, 68.86, , 17.97, , , , , , , 85.3
361, GB02-025721, Handbook of Glass Data, 1987, v. 00C  p. 0450, 67.15, , 21.03, , , , , , , 85.2
362, GB02-025722, Handbook of Glass Data, 1987, v. 00C  p. 0450, 65.52, , 23.95, , , , , , , 85.7
363, GB02-025723, Handbook of Glass Data, 1987, v. 00C  p. 0450, 63.98, , 26.72, , , , , , , 84.3
364, GB02-025724, Handbook of Glass Data, 1987, v. 00C  p. 0450, 62.86, , 28.72, , , , , , , 84.5
365, GB06-025725, Handbook of Glass Data, 1987, v. 00C  p. 0450, 62.5, , 29.37, , , , , , , 84.9
366, GB06-025726, Handbook of Glass Data, 1987, v. 00C  p. 0450, 61.09, , 31.9, , , , , , , 87.5
367, GB06-025727, Handbook of Glass Data, 1987, v. 00C  p. 0450, 59.75, , 34.31, , , , , , , 88.8
368, GB02-025728, Handbook of Glass Data, 1987, v. 00C  p. 0450, 57.76, , 32.67, , , , , , , 85.7
369, GB06-025729, Handbook of Glass Data, 1987, v. 00C  p. 0450, 58.44, , 32.51, , , , , , , 86.3
370, GB06-025730, Handbook of Glass Data, 1987, v. 00C  p. 0450, 59.78, , 32.2, , , , , , , 85.8
371, GB06-025731, Handbook of Glass Data, 1987, v. 00C  p. 0450, 62.38, , 31.6, , , , , , , 88.6
372, GB06-025732, Handbook of Glass Data, 1987, v. 00C  p. 0450, 63.65, , 31.3, , , , , , , 87.0
373, GB02-025733, Handbook of Glass Data, 1987, v. 00C  p. 0450, 59.89, , 24.96, , , , , , , 87.6
374, GB02-025734, Handbook of Glass Data, 1987, v. 00C  p. 0450, 70.43, , 16.3, , , , , , , 84.5
375, GB02-025735, Handbook of Glass Data, 1987, v. 00C  p. 0450, 75.01, , 12.73, , , , , , , 82.4
376, GB02-025736, Handbook of Glass Data, 1987, v. 00C  p. 0450, 66.29, , 24.36, , , , , , , 83.0
377, GB06-025737, Handbook of Glass Data, 1987, v. 00C  p. 0450, 58.44, , 33.59, , , , , , , 86.7
378, GB06-025738, Handbook of Glass Data, 1987, v. 00C  p. 0450, 61.06, , 32.96, , , , , , , 81.2
379, GB06-025739, Handbook of Glass Data, 1987, v. 00C  p. 0450, 41.54, , 46.99, , , , , , , 90.5
380, GB02-025740, Handbook of Glass Data, 1987, v. 00C  p. 0450, 76.99, , 9.33, , , , , , , 81.8
381, GB02-025741, Handbook of Glass Data, 1987, v. 00C  p. 0450, 47.69, , 40.46, , , , , , , 82.5
382, GB02-025743, Handbook of Glass Data, 1987, v. 00C  p. 0450, 72.08, , 9.71, , , , , , , 84.2
383, GB02-025744, Handbook of Glass Data, 1987, v. 00C  p. 0450, 66.89, , 16.75, , , , , , , 86.2
384, GB05-025795, Handbook of Glass Data, 1987, v. 00C  p. 0454, 43.19, 50.04, , , , , 6.77, , , 33.91
385, GB05-025796, Handbook of Glass Data, 1987, v. 00C  p. 0454, 38.04, 44.07, , , , , 17.88, , , 44.96
386, GB05-025797, Handbook of Glass Data, 1987, v. 00C  p. 0454, 35.9, 41.59, , , , , 22.51, , , 51.89
387, GB05-025798, Handbook of Glass Data, 1987, v. 00C  p. 0454, 33.98, 39.37, , , , , 26.64, , , 55.92
388, GB05-025799, Handbook of Glass Data, 1987, v. 00C  p. 0454, 32.26, 37.38, , , , , 30.35, , , 58.66
389, GB05-025800, Handbook of Glass Data, 1987, v. 00C  p. 0454, 30.71, 35.58, , , , , 33.7, , , 60.07
390, GB05-025801, Handbook of Glass Data, 1987, v. 00C  p. 0454, 29.3, 33.95, , , , , 36.75, , , 57.37
391, GB02-025802, Handbook of Glass Data, 1987, v. 00C  p. 0454, 26.84, 31.09, , , , , 42.07, , , 52.4
392, GB02-025803, Handbook of Glass Data, 1987, v. 00C  p. 0454, 25.75, 29.84, , , , , 44.4, , , 49.08
393, GB05-025804, Handbook of Glass Data, 1987, v. 00C  p. 0455, 55.12, 31.92, , , , , 12.96, , , 48.67
394, GB05-025805, Handbook of Glass Data, 1987, v. 00C  p. 0455, 52.83, 30.61, , , , , 16.56, , , 56.09
395, GB05-025806, Handbook of Glass Data, 1987, v. 00C  p. 0455, 50.73, 29.38, , , , , 19.89, , , 58.99
396, GB05-025807, Handbook of Glass Data, 1987, v. 00C  p. 0455, 49.74, 28.82, , , , , 21.44, , , 62.15
397, GB05-025808, Handbook of Glass Data, 1987, v. 00C  p. 0455, 48.79, 28.26, , , , , 22.95, , , 64.55
398, GB05-025809, Handbook of Glass Data, 1987, v. 00C  p. 0455, 46.99, 27.22, , , , , 25.78, , , 65.44
399, GB05-025810, Handbook of Glass Data, 1987, v. 00C  p. 0455, 45.32, 26.26, , , , , 28.42, , , 65.21
400, GB05-025811, Handbook of Glass Data, 1987, v. 00C  p. 0455, 43.77, 25.35, , , , , 30.88, , , 63.84
401, GB02-025812, Handbook of Glass Data, 1987, v. 00C  p. 0455, 10.62, 6.15, , , , , 83.23, , , 60.98
402, GB02-025813, Handbook of Glass Data, 1987, v. 00C  p. 0455, 40.96, 23.73, , , , , 35.31, , , 61.06
403, GB02-025814, Handbook of Glass Data, 1987, v. 00C  p. 0455, 38.49, 22.3, , , , , 39.21, , , 51.8
404, GB05-025815, Handbook of Glass Data, 1987, v. 00C  p. 0455, 60.7, 23.44, , , , , 15.86, , , 60.89
405, GB05-025816, Handbook of Glass Data, 1987, v. 00C  p. 0455, 67.31, 19.49, , , , , 13.19, , , 63.2
406, GB05-025817, Handbook of Glass Data, 1987, v. 00C  p. 0455, 72.03, 16.68, , , , , 11.29, , , 67.68
407, GB10-028052, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 98.38, , , , , 1.62, , , 19.47
408, GB10-028053, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 96.65, , , , , 3.35, , , 21.04
409, GB10-028054, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 94.66, , , , , 5.34, , , 23.04
410, GB10-028055, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 92.05, , , , , 7.95, , , 25.08
411, GB10-028056, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 88.83, , , , , 11.16, , , 27.53
412, GB10-028057, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 85.67, , , , , 14.33, , , 29.7
413, GB10-028058, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 83.18, , , , , 16.82, , , 30.28
414, GB10-028059, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 80.11, , , , , 19.88, , , 31.39
415, GB10-028060, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 77.1, , , , , 22.9, , , 31.8
416, GB10-028061, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 76.38, , , , , 23.62, , , 31.85
417, GB10-028062, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 74.13, , , , , 25.86, , , 32.49
418, GB10-028063, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 71.45, , , , , 28.55, , , 33.81
419, GB10-028064, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 68.0, , , , , 31.99, , , 37.59
420, GB10-028065, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 65.3, , , , , 34.7, , , 40.26
421, GB10-028066, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 62.41, , , , , 37.59, , , 41.91
422, GB10-028067, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 59.47, , , , , 40.53, , , 41.85
