Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
154, GI06-190747R, NGF's Additional New Data (J), 2000, v. 002  p. 0007, 59.77, 15.83, 3.28, , 10.46, , , 1.04, , 
155, GI06-191641, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 72.32, 19.67, , , 0.04, 0.009943, , 1.08, , 
156, GI06-191642R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 69.67, 17.68, , , , , , 0.99, , 
157, GI06-191644, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 70.4, 13.94, , , , , , 0.87, , 
158, GI06-191645R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.84, 38.39, , , 0.09, , , 1.22, , 
159, GI06-191647, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 52.21, 29.51, , 0.01, 17.87, , , 0.96, 0.9316668012846077, 0.028333198715392305
160, GI06-191648, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 42.3, 35.9, , , 21.8, , , 0.86, 0.8332717542969998, 0.026728245703000142
161, GI06-191649R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.28, 21.9, , 0.009952, , 23.61, , 0.85, 1.053338581636953, -0.20333858163695295
162, GI06-191650R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 50.27, 35.46, , 0.01, 13.95, , , 1.05, 0.9148637118535147, 0.13513628814648537
163, GI06-191654R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 48.21, 19.99, , , , 31.8, , 1.09, 1.0471245226442916, 0.04287547735570851
164, GI06-191656R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 56.7, 24.05, 9.51, , 9.75, , , 1.07, 0.8204909212833345, 0.2495090787166656
165, GI06-191657R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.27, 23.66, , 12.7, 9.37, , , 0.84, 0.6688142810257012, 0.1711857189742988
166, GI06-191658R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 44.8, 18.68, , , 7.68, , , 0.74, , 
