,SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
373,71.17,2.57,1.99,10.69,13.5,0.0,0.0,74.0
374,70.38,2.53,1.93,11.48,13.6,0.0,0.0,73.8
375,69.21,2.59,1.93,12.49,13.7,0.0,0.0,74.9
376,68.29,2.52,1.93,13.43,13.7,0.0,0.0,75.6
377,71.93,2.13,0.67,11.3,13.89,0.0,0.0,73.7
378,73.21,1.45,0.08,10.28,14.71,0.009998,0.009998,73.1
379,69.54,1.9,0.03,13.68,10.43,4.42,0.0,72.8
380,69.91,1.91,1.01,12.31,10.44,4.42,0.0,73.1
381,70.69,1.57,4.77,8.49,13.6,0.88,0.0,76.3
382,70.24,1.92,0.01,14.04,12.38,1.41,0.0,74.4
383,71.23,1.95,2.56,10.48,12.37,1.41,0.0,75.1
384,70.72,1.19,3.76,11.22,10.23,2.88,0.0,76.3
385,72.0,0.6,4.27,8.73,13.78,0.4,0.2,71.0
386,68.09,3.43,4.44,9.87,11.72,0.01,0.22,78.3
387,68.72,1.88,4.52,8.52,12.0,0.01,0.21,79.3
388,73.18,0.7,4.5,8.91,12.71,0.0,0.0,72.0
389,74.0,1.3,0.2,10.5,13.5,0.3,0.2,72.0
390,71.48,1.72,4.21,8.69,12.95,0.95,0.0,73.0
391,72.61,0.0,4.12,9.55,13.72,0.0,0.0,72.0
392,72.01,1.81,4.01,8.63,13.04,0.5,0.0,73.0
393,72.1,1.8,4.0,8.6,13.0,0.5,0.0,73.0
394,74.43,1.71,2.02,9.39,12.45,0.0,0.0,73.2
395,70.68,1.1,4.0,9.81,13.81,0.5,0.0,70.0
396,67.11,4.33,0.07,12.45,12.04,0.0,0.0,81.0
397,67.73,4.03,1.93,10.45,12.17,0.0,0.0,81.3
398,68.12,3.9,3.82,8.39,12.05,0.0,0.0,80.8
399,58.33,25.0,15.0,0.0,0.0,0.0,0.0,97.23
400,56.66,25.0,15.0,0.0,0.0,0.0,0.0,97.98
401,57.1,23.8,12.4,1.9,0.0,0.0,0.0,106.0
402,57.1,23.8,12.4,1.9,0.0,0.0,0.0,110.0
403,56.2,23.0,16.1,0.0,0.0,0.0,0.0,102.4
404,58.0,20.0,14.0,8.0,0.0,0.0,0.0,97.6
