SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
16.42,83.58,0.0,0.0,0.0,0.0,0.0,113.0
39.92,60.07,0.0,0.0,0.0,0.0,0.0,101.0
66.36,33.63,0.0,0.0,0.0,0.0,0.0,90.0
87.14,12.86,0.0,0.0,0.0,0.0,0.0,78.0
95.01,4.99,0.0,0.0,0.0,0.0,0.0,74.0
62.64,16.65,3.55,0.61,13.1,3.45,0.0,91.0
57.54,4.75,11.48,7.7,17.87,0.49,0.0,70.0
43.2,36.65,0.0,20.16,0.0,0.0,0.0,120.0
43.2,36.65,0.0,20.16,0.0,0.0,0.0,135.0
43.2,36.65,0.0,20.16,0.0,0.0,0.0,115.0
43.2,36.65,0.0,20.16,0.0,0.0,0.0,90.0
51.36,34.85,13.78,0.0,0.0,0.0,0.0,150.0
51.36,34.85,13.78,0.0,0.0,0.0,0.0,185.0
51.36,34.85,13.78,0.0,0.0,0.0,0.0,170.0
51.36,34.85,13.78,0.0,0.0,0.0,0.0,136.0
71.44,0.6,4.03,9.6,13.98,0.03,0.3,73.0
73.33,2.52,0.0,11.1,12.27,0.78,0.0,75.0
74.11,2.55,2.69,7.48,12.39,0.78,0.0,72.0
74.89,2.57,5.43,3.78,12.53,0.79,0.0,71.0
51.36,34.85,13.78,0.0,0.0,0.0,0.0,101.5
74.23,2.06,1.03,8.25,13.4,1.03,0.0,70.56
72.0,2.0,4.0,8.0,13.0,1.0,0.0,70.56
45.8,38.8,15.4,0.0,0.0,0.0,0.0,101.0
60.94,34.52,0.0,0.0,0.0,0.0,0.0,80.0
60.94,34.52,0.0,0.0,0.0,0.0,0.0,70.0
60.94,34.52,0.0,0.0,0.0,0.0,0.0,105.0
60.94,34.52,0.0,0.0,0.0,0.0,0.0,135.0
63.69,27.06,5.32,0.0,0.0,0.0,0.0,28.9884
77.84,0.0,0.0,0.0,16.06,6.1,0.0,63.3
71.32,0.0,0.0,0.0,23.08,5.59,0.0,62.5
68.35,0.0,0.0,0.0,14.1,17.55,0.0,60.3
79.63,0.0,0.0,0.0,14.75,5.61,0.0,62.9
74.0,0.0,3.91,7.5,14.39,0.15,0.0,69.0
51.4,34.83,13.77,0.0,0.0,0.0,0.0,186.0
43.2,36.65,0.0,20.16,0.0,0.0,0.0,158.0
65.61,0.0,0.0,0.0,16.89,17.5,0.0,45.09
67.98,0.0,0.0,0.0,15.61,16.41,0.0,48.39
69.91,0.0,0.0,0.0,14.87,15.22,0.0,51.74
71.51,0.0,0.0,0.0,13.51,14.98,0.0,56.12
74.72,0.0,0.0,0.0,12.4,12.88,0.0,57.27
43.2,36.65,0.0,20.16,0.0,0.0,0.0,125.0
