SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
 , *, , , , , , 70.0
 , *, , , , , , 66.0
 *, *, , , , *, , 61.0
 *, *, , , , *, , 54.0
 *, , , , *, *, , 105.0
 *, *, , , , , , 97.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 64.0
 *, , , , *, *, , 66.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 64.0
 *, , , , *, *, , 65.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 80.0
 *, , , , *, *, , 86.0
 *, , , , *, *, , 71.0
 *, , , , *, *, , 74.0
 *, , , , *, *, , 66.0
 *, , , , *, *, , 77.0
 *, , , , *, *, , 57.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 72.0
 *, , , , *, *, , 90.0
 *, , , , *, *, , 90.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 61.0
 *, , , , *, *, , 63.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 59.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 59.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 57.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 63.0
 *, , , , *, *, , 84.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 62.0
 *, , , , *, *, , 66.0
 *, , , , *, *, , 63.0
 *, , , , *, *, , 80.0
 *, , , , *, *, , 67.0
 *, , , , *, *, , 74.0
 *, , , , *, *, , 81.0
 *, , , , *, *, , 77.0
 *, , , , *, *, , 77.0
 *, , , , *, *, , 60.0
 *, , , , *, *, , 61.0
 *, , , , *, *, , 69.0
 *, , , , *, *, , 64.0
 *, , , , *, *, , 63.0
 *, , , , *, *, , 62.0
 *, , , , *, *, , 64.0
 *, , , , *, *, , 66.0
 *, , , , *, *, , 71.0
 *, , , , *, *, , 77.0
 *, , , , *, *, , 73.0
 *, , , , *, *, , 78.0
 *, , , , *, *, , 89.0
 *, , , , *, *, , 88.0
 *, , , , *, *, , 79.0
 *, , , , *, *, , 84.0
 *, , , , *, *, , 93.0
 *, , , , *, *, , 89.0
 *, , , , *, *, , 76.0
 *, , , , *, *, , 65.0
 *, , , , *, *, , 75.0
 *, , , , *, *, , 65.0
 *, , , , *, *, , 79.0
 *, , , , *, *, , 75.0
 *, *, , , , , , 79.0
 *, *, , , , , , 78.0
 *, *, , , , , , 75.0
 *, *, , , , , , 79.0
 *, *, , , , , , 88.0
