Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
176, GC04-044753, Schott AG (DE), 1981, BaSF1-626390, *, , , , , *, *, , , 0.242
177, GC04-044754, Schott AG (DE), 1981, BaSF2-664358, *, , , , , *, *, , , 0.245
178, GC04-044755, Schott AG (DE), 1981, BaSF5-603425, *, , , , , *, *, , , 0.231
179, GC04-044756, Schott AG (DE), 1981, BaSF6-668419, *, , , , , *, *, , , 0.263
180, GC04-044757, Schott AG (DE), 1981, BaSF10-650392, *, , , , , *, *, , , 0.256
181, GC04-044758, Schott AG (DE), 1981, BaSF12-670392, *, , , , , *, *, , , 0.261
182, GC04-044759, Schott AG (DE), 1981, BaSF13-698386, *, , , , , *, *, , , 0.268
183, GC04-044760, Schott AG (DE), 1981, BaSF14-700350, *, , , , , *, *, , , 0.258
184, GC04-044761, Schott AG (DE), 1981, BaSF50-710366, *, , , , , *, *, , , 0.285
185, GC04-044770, Schott AG (DE), 1981, LLF1-548458, *, , , , , *, *, , , 0.21
186, GC04-044771, Schott AG (DE), 1981, LLF2-541472, *, , , , , *, *, , , 0.207
187, GC04-044772, Schott AG (DE), 1981, LLF3-560472, *, , , , , *, *, , , 0.213
188, GC04-044773, Schott AG (DE), 1981, LLF4-561452, *, , , , , *, *, , , 0.219
189, GC04-044774, Schott AG (DE), 1981, LLF6-532488, *, , , , , *, *, , , 0.205
190, GC04-044775, Schott AG (DE), 1981, LLF7-549454, *, , , , , *, *, , , 0.205
191, GC04-044776, Schott AG (DE), 1981, BaF3-583465, *, , , , , *, *, , , 0.261
192, GC04-044777, Schott AG (DE), 1981, BaF4-606439, *, , , , , *, *, , , 0.247
193, GC04-044778, Schott AG (DE), 1981, BaF5-607494, *, , , , , *, *, , , 0.255
194, GC04-044779, Schott AG (DE), 1981, BaFn6-589485, *, , , , , *, *, , , 0.234
195, GC04-044780, Schott AG (DE), 1981, BaF8-624470, *, , , , , *, *, , , 0.26
196, GC04-044781, Schott AG (DE), 1981, BaF9-643480, *, , , , , *, *, , , 0.269
197, GC04-044782, Schott AG (DE), 1981, BaFn10-670471, *, , , , , *, *, , , 0.281
198, GC04-044783, Schott AG (DE), 1981, BaFn11-667484, *, , , , , *, *, , , 0.279
199, GC04-044784, Schott AG (DE), 1981, BaF12-639452, *, , , , , *, *, , , 0.262
200, GC04-044785, Schott AG (DE), 1981, BaF13-669450, *, , , , , *, *, , , 0.273
201, GC04-044786, Schott AG (DE), 1981, BaF50-683445, *, , , , , *, *, , , 0.266
202, GC04-044787, Schott AG (DE), 1981, BaF51-652449, *, , , , , *, *, , , 0.266
203, GC04-044788, Schott AG (DE), 1981, BaLF4-580537, *, , , , , *, *, , , 0.244
204, GC04-044789, Schott AG (DE), 1981, BaLF5-547536, *, , , , , *, *, , , 0.236
205, GC04-044790, Schott AG (DE), 1981, BaLF6-589530, *, , , , , *, *, , , 0.254
206, GC04-044791, Schott AG (DE), 1981, BaLF8-554512, *, , , , , *, *, , , 0.233
207, GC04-044792, Schott AG (DE), 1981, BaLF50-589514, *, , , , , *, *, , , 0.247
208, GC04-044793, Schott AG (DE), 1981, BaLF51-574521, *, , , , , *, *, , , 0.24
209, GC04-044828, Schott AG (DE), 1981, BaLF3-571529, *, , , , , *, *, , , 0.25
210, GC04-044835, Schott AG (DE), 1981, SF51-660329, *, , , , , *, *, , , 0.229
211, GC04-044836, Schott AG (DE), 1981, SF52-689306, *, , , , , *, *, , , 0.242
212, GC02-044839, Schott AG (DE), 1981, K10-501564, *, , *, , *, *, *, , , 0.192
213, GC02-044840, Schott AG (DE), 1981, K11-500614, *, , *, , *, *, *, , , 0.202
214, GC02-044841, Schott AG (DE), 1981, K50-523602, *, , *, , *, *, *, , , 0.222
215, GC02-044842, Schott AG (DE), 1981, UK50-523604, *, , *, , *, *, *, , , 0.223
216, GC02-044843, Schott AG (DE), 1981, K51-505596, *, , *, , *, *, *, , , 0.197
217, GC07-044844, Schott AG (DE), 1981, ZK1-533580, *, *, , , , *, *, , , 0.24
